Lib_Name,Source,N_Runs,Mean_Cosine_Similarity,Std_Cosine_Similarity,Median_Cosine_Similarity
react-quill,middle,5,0.8419,0.0087,0.8472
jstransformer-markdown-it,middle,5,0.8415,0.0031,0.8412
react-native-navbar,middle,5,0.8414,0.0023,0.843
hapi-route-directory,bottom,5,0.8402,0.0037,0.8409
webpack-manifest-plugin,top,5,0.84,0.0405,0.8573
mocha-fivemat-progress-reporter,middle,5,0.8398,0.0063,0.8411
bloggy-rss,bottom,5,0.8397,0.0191,0.8277
gitbook-plugin-piwik,bottom,5,0.8393,0.0147,0.8389
led-canvas-fonts,bottom,5,0.8389,0.0058,0.8397
babel-preset-es2015-node5,middle,5,0.8378,0.0205,0.8445
minimalistic-crypto-utils,top,5,0.8378,0.0058,0.8403
webpack-subresource-integrity,top,5,0.8376,0.0082,0.8418
optimize-css-assets-webpack-plugin,top,5,0.8365,0.0116,0.8408
breeze.js.labs,bottom,5,0.836,0.0205,0.8392
prettier,top,5,0.836,0.002,0.8361
acorn-globals,top,5,0.8359,0.02,0.8476
wangEditor,middle,5,0.8358,0.0036,0.8373
koa-passport,middle,5,0.8355,0.0017,0.8359
array-flatten,top,5,0.8354,0.0179,0.8356
js-multiaddr,middle,5,0.8349,0.025,0.8179
ember-cli-deploy,middle,5,0.8347,0.0066,0.8313
emoji-regex,top,5,0.8346,0.0084,0.8404
react-sidebar,middle,5,0.834,0.0111,0.8312
extract-zip,top,5,0.8339,0.0186,0.8343
libphonenumber-js,middle,5,0.8319,0.0063,0.8305
karma-gzip-preprocessor,bottom,5,0.8313,0.0185,0.8296
js-ipld-dag-cbor,middle,5,0.831,0.0127,0.8401
vue-loader,top,5,0.8307,0.0068,0.8295
gulplog,top,5,0.8306,0.0072,0.8271
nodejs-fluent-validator,bottom,5,0.8294,0.0061,0.8321
gulp-css-inline-images,middle,5,0.8284,0.0063,0.8265
backbone-db-mongodb,bottom,5,0.8267,0.0046,0.8247
has-gulplog,top,5,0.8266,0.0097,0.8335
actions-on-google-nodejs,middle,5,0.8265,0.0054,0.828
node-elm-compiler,middle,5,0.8263,0.0,0.8263
couchdb-user-account,bottom,5,0.826,0.0024,0.8274
react-native-progress,middle,5,0.8258,0.007,0.823
